company_name	url	poa	city	state	country	year_founded	full_time_employees_low	full_time_employees_high	company_type	company_category	revenue_source	business_model	social_impact	description	description_short	source_count_low	source_count_high	data_types	data_comments	example_uses	data_impacts	requested_data	data_sources
Australian Library and Information Association	https://protect-au.mimecast.com/s/Pq_zC5QP8yS9AYKOHjmLU7?domain=alia.org.au	2600	Canberra	ACT	au	1937	11	50	Nonprofit	Library and information	Membership fees	Business to Business	"Citizen engagement and participation, Educational opportunity, Good governance, Healthcare access, Freedom of access to information"	"The objects of the Association are to: promote the free flow of information and ideas in the interest of all Australians and a thriving culture, economy and democracy; promote and improve the services provided by all kinds of library and information agencies; ensure the high standard of personnel engaged in information provision and foster their professional interests and aspirations; represent the interests of members to governments, other organisations and the community; encourage people to contribute to the improvement of library and information services through support and membership of the Association.

"	ALIA is the peak body for the library and information sector in Australia.	11	50	"Demographics & Social, Education, Government Operations, Health/Healthcare, Legal, Science and Research"	We make extensive use of datasets but we often find them lacking in the fine grain detail we need for analysis of the library and information profession (education and employment) and to provide the data required by researchers and other information service users.	"We work with all kinds of libraries, school, public, corporate, law, government, academic, TAFE and the major collecting institutions. All sectors require access to data and we have chosen health libraries as the best example of how libraries use open data."	"Cost efficiency', 'New or improved product/service', 'Identify new opportunities', 'New/improved research'"	"As a professional body, we seek fine grain detail about higher education in Australia - Department of Education data is too broad. 
Our public library group seeks demographic data about access/use of library collections. ABS cultural data is light on detail.
Our special libraries, servicing businesses, government, law and health need access to datasets covering all spheres of interest to satisfy user demand.
We have chosen health libraries as our example below:"	"Health (Health Workforce Data, Research Data Australia, Australian Hospitals and Aged Care, AIHW, My Hospitals, Data Linkage WA), National Health and Medical Research Council, Australian Institute of Health and Welfare, Australian Bureau of Statistics (Census, ABS Labour Force Survey), Education and Training (ASQA, TEQSA, Job Outlook, Department of Employment projections, NCVER)"
Australian Medical Association (AMA) - Federal	https://protect-au.mimecast.com/s/8X_BC6XQ68fmXl9xHl4GDp?domain=ama.com.au	2600	Canberra	ACT	au	1962	11	50	Nonprofit	Healthcare	Membership fees	Membership organisation representing medical practitioners and medical students	"Good governance, Healthcare access, Public safety"	"Our mission is Leading Australia's Doctors Promoting Australia's Health.
The Australian Medical Association (AMA) is a membership organisation that exists to promote and protect the professional interests of doctors and the health care needs of patients and communities.

The AMA advocates on behalf of its members at the Federal, and State and Territory levels by: 
•	working with governments to increase and maintain provision of world class medical care to all Australians
•	tracking and reporting government performance on health policy, financing and services
•	challenging governments on policy that potentially harms the interests of patients
•	leading the health policy debate by developing and promoting alternative policies to those government policies 
•	providing informed, expert medical commentary on health issues
•	responds to issues in the health debate through provision of a wide range of expert resources 
•	commissioning and conducting research on health issues 

The AMA improves patient care by supporting the medical profession through a range of essential services including: 
•	protecting the academic, professional, and economic independence of medical practitioners
•	protecting the wellbeing of medical practitioners
•	promoting and advancing ethical behaviour of the medical profession
•	protecting the integrity and independence of the doctor/patient relationship
•	preserving and protecting the political, legal and industrial interests of medical practitioners. 
"	The AMA exists to promote and protect the professional interests of doctors and the health care needs of patients and communities.	11	50	"Consumer, Demographics & Social, Economics, Environment, Government Operations, Health/Healthcare, Legal, Science and Research, Public Safety"	"The datasets are useful as a basis for commentary on the health system, however more transparency and detail across the board would allow for more targeted and nuanced policy review and more coordination and data linking puts us in a stronger position for better health outcomes and cost efficiencies."	"To support evidence-based medical commentary and policy analysis and debate on health issues to maintain provision of world class medical care to all Australians and identify emerging and long term challenges in health.  
For example through the :
- 	AMA Indigenous Health Report Card which uses AIHW (Australian Institute of Health and Welfare) data and reports
- 	AMA Public Hospital Report Card which uses Australian Bureau of Statistics, Australian Demographic Statistics, Australian Institute of Health and Welfare Australian Hospital Statistics, Emergency department care statistics and Elective surgery waiting times, Health Expenditure Australia data from the Commonwealth Budget.
"	Policy analysis and development'	"Public health data on synthetic drug use, fast food, alcohol, cigarettes and e-cigarettes.
� More robust public health data, for example 
o most disadvantaged and unwell are generally missed by the National Data Collection because they may have no fixed address;
o verified BMIs instead of self-reported; 
o more specific categories for physical activity participation;
o concussion in sport.
� Indigenous health data for people living in cities and residential areas i.e. not limited to rural areas.
� More specific detail on Practice Incentive Payments and Service Incentive Payments � a more detailed breakdown beyond just how many payments were made.
� More transparency about supply and demand for medical training places.
� National Medical Intern Data Management Group � data on the number of positions left unfilled.
� A national training survey on the quality of medical training.
� Integration of AIHW National Aged Care Data Clearing House data across health and aged care data sets. 
� More information on General Practice, similar to the previously conducted Annual Survey of Divisions.
� More granular Medicare and PBS data, for example by provider type/percentiles."	"National Health and Medical Research Council, National Health Funding Body, National Mental Health Commission, Organ and Tissue Authority, Private Health Insurance Ombudsman, Professional Services Review, Australia Commission on Safety and Quality in Health Care, Australian Institute of Health and Welfare, Independent Hospital Pricing Authority, National Health Performance Authority, Private Health Insurance Administration Council, Australian General Practice Training, Department of Health, Department of Human Services, Australian Bureau of Statistics, Productivity Commission, Therapeutic Goods Administration - adverse event reports data, Pharmaceutical Benefits Scheme statistics on medicines, Medicare data"
Bainbridge Consulting	https://protect-au.mimecast.com/s/DbuoC71R63CNLj69uECRKk?domain=bainbridge.com.au	4000	Brisbane	QLD	au	2002	1	10	Private	Research & Consulting	"Consulting, Data analysis for clients, Lead generation to other businesses"	Business to Business	"Citizen engagement and participation, Consumer empowerment, Educational opportunity, Environment and climate change, Financial access, Food access and supply, Good governance, Healthcare access, Housing access, Public safety"	"We are in a period of significant change unlike any other ever known in human history. Information is being created at an astonishing rate. In the last two years alone, more than 90% of the world's data has been produced. The main driver is transactional data being produced by companies, financial institutions, and online intermediaries. This includes trillions of bytes of information about customers, suppliers, and operations. As researchers, our job is to analyse this information, discover meaningful insights, and present them in a way that is easy to understand.

So our mission is simple - We tell stories with data!"	Bainbridge Consulting offers next-generation strategic research services which help you make sense of the information in your business.	101		"Agriculture & Food, Business, Consumer, Demographics & Social, Economics, Education, Energy, Environment, Finance, Geospatial/Mapping, Government Operations, Health/Healthcare, Housing, International/Global Development, Legal, Manufacturing, Positioning/GPS, Science and Research, Public Safety, Tourism, Transportation, Weather"			"Cost efficiency', 'New or improved product/service', 'Job growth', 'Revenue growth', 'Identify new opportunities', 'New/improved research'"	-	Australian Bureau of Statistics
Balmoral Group - Australia	balmoralgroup.com.au	2000	Sydney	NSW	au	2009	1	10	Private	Research & Consulting	"Consulting, Data analysis for clients, Government contract"	"Business to Business, Business to Government"	"Citizen engagement and participation, Environment and climate change, Financial access, Good governance"	"Balmoral Group Australia was established in Sydney in 2009, as an international office of The Balmoral Grou, an engineering and economic consulting firm based in Florida, USA.
Our core services address the nexus of public policy and socioeconomic impacts within infrastructure, water resources and the environment.  As a niche firm, The Balmoral Group has completed precedent setting projects for public and private clients.  
We have a specialty in optimisation and decision making based on economic theory and geospatial modelling applications, to support Policy Analysis."	"We provide economic rigor and analysis to natural resource, transport, and local development research."	51	100	"Agriculture & Food, Business, Consumer, Economics, Education, Energy, Environment, Finance, Geospatial/Mapping, Government Operations, Manufacturing, Science and Research, Tourism, Transportation, Weather"		"We use ABS Census data for community profiling, GIS layers where open and freely avaiable.  "	"Cost efficiency', 'New or improved product/service', 'Job growth', 'Revenue growth', 'Identify new opportunities', 'New/improved research'"	"Property boundary data and associated tax roll data.  We do much work in Florida,U.S.  Much data is made freely available, and can be found on this site.   Comparable data in NSW would be very helpful.
https://protect-au.mimecast.com/s/obrDC81Vq2Cq98MxSgNr6o?domain=fgdl.org"	"Australian Bureau of Statistics, Geoscience Australia"
Bass Coast Landcare Network Inc	https://protect-au.mimecast.com/s/Bq2VC91W8rCq8VKPSKFnT7?domain=basscoastlandcare.org.au	3991	Bass	VIC	au	2006	11	50	Nonprofit	Environment & Weather	"Contributions/Donations, Government contract, Membership fees, Philanthropic grants"	"Business to Business, Business to Consumer, Business to Government"	"Citizen engagement and participation, Educational opportunity, Environment and climate change, Good governance"	"A community engaged in supporting a productive, biodiverse landscape incorporating sustainable agricultural practices and innovative environmental enterprises.
Bass Coast Landcare Network collaborates with community and partners to inspire and enable our groups and people to deliver innovative land and environmental management practices to support healthy and resilient ecosystems and communities.

The Bass Coast Landcare Network (BCLN) was formed in 2003 as an affiliation of the Landcare Groups, enabling them to better position themselves for investment from government, local, state and federal and corporate programs.  Sixty percent of the 1,400 rural properties in the Network area are involved in and supported by the BCLN

"	"A community engaged in supporting a productive, biodiverse landscape incorporating sustainable agricultural practices and innovative environmental enterprises."	1	10	"Agriculture & Food, Environment, Geospatial/Mapping, Legal, Science and Research"	Very useful data	"ABARE and local government datasets to understand the community we work with.  This includes road datasets and parcel datasets 
State Government data sets to undertake catchment modelling, environmental project prioritisation through the establishment of an environmental benefits score, project planning
Weather data is used on a regular basis. 
Legal data is obtained through Fair work Australia for advise purposes."	"Cost efficiency', 'New or improved product/service', 'Identify new opportunities'"	"Environmental Geospatial data
Farm productivity and capability data"	Department of Environment
BMT WBM	https://protect-au.mimecast.com/s/1q-CC0YKgRsBj0WlfRLrx-?domain=bmtwbm.com.au	4000		QLD	au	1969	51	200	Private	Research & Consulting	Consulting	Business to Business	Environment and climate change	"BMT WBM is a leading edge consultancy in mechanical, maritime, water and environmental engineering and hydraulics.In machinery engineering, BMT WBM has built a reputation for solving the more difficult and challenging problems facing designers, manufacturers and operators.  Underpinning this reputation is an innovative, analytical approach, a very comprehensive measurement and analysis capability and a highly qualified, highly experienced team of professionals.

BMT WBM is also one of Australia's largest and most experienced environmental consultants. With over 30 years experience, BMT WBM offers resources and expertise in environmental consulting which is unequalled. The company's team of highly qualified engineers, biologists and scientists have expert knowledge of all aspects of environmental consulting and are committed to using their skills and experience to the benefit of clients, communities and the environment."	"BMT WBM is a leading edge consultancy in mechanical, maritime, water and environmental engineering and hydraulics."	1	10	"Environment, Geospatial/Mapping"		Map Representation.	New or improved product/service'	-	"Northern Territory Government (Department of Natural Resources, Environment, The Arts and Sport)"
Bulimba Creek Catchment Coordinating Committee Inc	https://protect-au.mimecast.com/s/3SV4CgZ05Jfy85WnHYCKIa?domain=bulimbacreek.org.au	4152	Brisbane	QLD	au	1997	11	50	Nonprofit	Environment & Weather	"Consulting, Contributions/Donations, Government contract, Philanthropic grants, Ecological Rehabilitation"	Non government service delivery	"Citizen engagement and participation, Educational opportunity, Environment and climate change"	"Bulimba Creek Coordinating Catchment Committee Inc. (B4C) is a community not-for-profit Landcare and catchment group in Brisbane, Queensland (Australia), working to protect and enhance the urban environment. B4C works voluntarily in the community to foster care for the environment and embracing sustainable living through active programs.
"	B4C's vision is to create a web of green across the catchment. B4C is promoting ecological sustainability and nature conservation.							-	-
Cardno	https://protect-au.mimecast.com/s/2mUQCjZ12Rfmg1JkH4aMC-?domain=cardno.com	4006	Brisbane	QLD	au	1945	1001	5000	Public	Research & Consulting	"Consulting, Data analysis for clients, Lead generation to other businesses"	Business to Business	"Environment and climate change, Housing access"	"Cardno is an ASX-200 professional infrastructure and environmental services company, with expertise in the development and improvement of physical and social infrastructure for communities around the world.
The Cardno team is comprised of leading professionals who plan, design, manage and deliver sustainable projects and community programs. Our diverse skills and experience allow us to offer integrated services in ten market sectors to clients both locally and across the globe.
Our vision  is to be a world leader in the provision of professional services to improve the physical and social environment.
Our mission is to provide services to plan, design, manage and deliver sustainable physical, social and economic infrastructure for local and international communities. 
 We will achieve our vision of being a world leader through:
1. attracting, developing, retaining and rewarding valued people
2. understanding and meeting the expectations of our clients 
3. sustaining the growth of our profile and markets 
4. continually improving the safety and quality of our service delivery 
5. creating shareholder value through high performance."	"Cardno is a professional services company working in the infrastructure, environment and international development sectors"	51	100	"Demographics & Social, Economics, Education, Energy, Environment, Geospatial/Mapping, Health/Healthcare, International/Global Development, Positioning/GPS, Tourism, Transportation, Weather"	"We obtain data from many government agencies, more then listed in the above section but they provide invaluable information and sometimes the only information we have on our project sites.
Sometimes the accuracy and currency are quite poor though and this impacts of how useful they are."	"Cardno uses open data on many of its projects to provided contextual information for the sites we are working on and to assist us in providing a service to our clients. It can form the basis for analysis and design.
Spatial data is used on almost every project to provide geographic content to the project."	"Cost efficiency', 'Identify new opportunities', 'New/improved research'"	"Nationwide data with high accuracy:-
- Cadastre
- Roads and other transport lines
- Land Zoning
- MySchools website database
- Government Infrastructure project locations
- Flood Extents
- Protected Land with Flora and Fauna"	"Australian Capital Territory Government (ACT Planning and Land Authority), Victorian Government (Department of Planning and Community Development (Vic), Department of Transport), Western Australia Government (Department of Planning (WA) (Zoning)), New South Wales Government (NSW Land and Property Information (Cadastral, Topographic)), Government of South Australia (Department for Transport, Energy and Infrastructure), Geoscience Australia, Bureau of Meteorology (Weather Stations)"
Cathodic Anodes Australasia	https://protect-au.mimecast.com/s/8-38Ck815RCBg30ZfxXTFo?domain=cathodicanodes.com.au	4556	Kunda Park (Sunshine Coast)	QLD	au	1984	11	50	Private	Mining/Manufacturing	"Government contract, Sale of manufactured products"	Business to Business		"The cost of fighting corrosion in Australia has been estimated at a staggering $30 billion per year, which represents 3% of Australia's GDP. We are proud to be part of the industry that is helping to fight corrosion. We manufacture Galvanic Anodes. High quality (ISO 9001 accredited by LRQA), fast turn around and competitively priced. 

Our anodes protect billions of dollars worth of infrastructure around Australia, the South Pacific and South East Asia including industrial anodes for offshore oil rigs, floating FPSOs, mining, construction and pipelines as well as for the protection of infrastructure such as ports, wharves, sheet pile walls and desalination plants. Our anodes also protect ships, yachts, marine motors, tanks and hot water systems.

Since commencing manufacturing in 1984, we have established ourselves as Australia’s largest galvanic anode manufacturer. Our foundry is designed based on Lean Manufacturing principals, where work flow efficiency gains and minimal down time has lead to significantly shorter lead times and reduced energy use.

An integral part of our commitment to providing high quality anodes is our laboratories which include an Optical Emission Spectrometer for chemical analysis, electrochemical test baths, anode-to-core resistance testing and more. 
"	"CAA manufacture Galvanic Anodes. Our anodes protect billions of dollars worth of infrastructure around Australia, the South Pacific and South East Asia."	11	50	"Energy, Government Operations, Manufacturing"	"We search the internet for projects  being undertaken by state and local governments, Port authorities, water boards and Defence. Anything from government infrastructure projects to anodes for Pacific Patrol Boats. "	"Almost on a daily basis we research companies and the projects they are working on to try to find contacts for supply of anodes.
We receive notice of projects which require ""Cathodic Protection"" from ICN and Project Connect. 
"	"New or improved product/service', 'Revenue growth', 'Identify new opportunities'"	"Government organisations, esp Defence order Anodes from OS manufacturers. We have tried to offer quotation for these products, but we cannot get sufficient information from DOD that would enable us to provide a quote.
Some years ago we discovered that the DOD was purchasing a very simple type of anode from a Scandinavian country for around AU$52.00 each, in quantities of over 1,000. We can cast these anodes for around $5-$8 each. We were not able to get the chemical analysis of the anodes from DOD or a sample which we could analyse in our lab to identify the chemical composition, so we are missing out on this work. As far as we can tell, this single issue is costing Australian taxpayers tens of thousands of dollars and it is ignoring a ""Made in Australia"" option."	"Department of Defence, Victorian Government (Department of Transport), Western Australia Government (WA Department of Transport), Northern Territory Government (Department of Planning and Infrastructure, Public Transport)"
Code for Australia	https://protect-au.mimecast.com/s/SEo8Clx1OYUELqKDfm3GHE?domain=codeforaustralia.org	3000	melbourne	VIC	au	2015	1	10	Nonprofit	Innovation	"Contributions/Donations, Government contract, Philanthropic grants"	Business to Government	"Citizen engagement and participation, Consumer empowerment, Educational opportunity, Financial access, Food access and supply, Good governance, Healthcare access, Housing access"	"We believe in a government by the people, for the people, in the 21st century. 
Through our programs we are helping move government towards a platform that allows citizens, public servants and industry to come together and work on issues that affect us all, and build a civic-tech ecosystem in Australia. "	"We bring innovation to government through transparency, collaboration and technology."	11	50	"Demographics & Social, Economics, Education, Environment, Finance, Geospatial/Mapping, Government Operations, Health/Healthcare, Housing, International/Global Development, Legal, Manufacturing, Positioning/GPS, Science and Research, Public Safety, Tourism, Transportation, Weather"	Engage the community.	"Help release more.
Make prototypes i.e. reroute.it, and an app under development to find local schools in NSW.
"	"Cost efficiency', 'New or improved product/service', 'Job growth', 'Revenue growth', 'Identify new opportunities', 'New/improved research'"	"as much as possible, but in particular local government data that has relevance to everyday people"	City of Melbourne
